FAA Manufacturer,FAA Model,Remap,Type
,,,C402
,,,C402
,,,C04T
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",404,C404,C404
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","411,411A",C411,C411
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","414,414A",C414,C414
,,,C14T
,,,C414
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","421,421A,421B,421C",C421,C421
,,,C21T
,,,C421
,,,C421
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",425,C425,C425
,,,C425
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",441,C441,C441
,,,C441
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","500,C500",C500,C500
,,,C500
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",501,C501,C501
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",510,C510,C510
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","525,525A,525C",C525,C525
,,,C525
,,,C25A
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","3000,525B",C25B,C25B
,,,C25C
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",526,C526,C526
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","550,S550",C550,C550
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",551,C551,C551
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","C560,560,560 CITATION V",C560,C560
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","560 ENCORE,560 CITATION ULTRA",C560,C560
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C55B,C55B,C55B
,,,C55B
,,,C560
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",560XL,C56X,C56X
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","560XLS,560XLS+",C56X,C56X
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",650,C650,C650
,,,C650
,,,C650
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","680,680A",,C680
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",750,C750,C750
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","A-37A,A37B",A37,A37
,,,C150
,,,C152
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",A185E,C185,C185
,,,C185
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","A188,A188A,A188B",C188,C188
,,,C188
,,,C150
,,,C152
,,,C185
,,,C188
,,,C188
,,,C188
,,,C188
,,,CMAS
,,,T50
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","AT 17B,AT-17",T50,T50
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",AW,CAW,CAW
,,,O1
,,,T50
,,,C402
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C-34,CMAS,CMAS
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C-37,CMAS,CMAS
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C-38,CMAS,CMAS
,,,C208
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C-145,CMAS,CMAS
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C-165,CMAS,CMAS
,,,C208
,,,F406
,,,C177
,,,C77R
,,,C208
,,,C210
,,,C414
,,,C500
,,,C500
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C501,C501,C501
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C550,C550,C550
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C551,C551,C551
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C650,C650,C650
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C560,C560,C560
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C650,C650,C650
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C650,C650,C650
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C750,C750,C750
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C525,C525,C525
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C25A,C25A,C25A
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C25B,C25B,C25B
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C25C,C25C,C25C
,,,C560
,,,C56X
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C510,C510,C510
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C550,C550,C550
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C680,C680,C680
,,,C560
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C56X,C56X,C56X
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C525,C525,C525
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C526,C526,C526
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C150,C150,C150
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C441,C441,C441
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C425,C425,C425
,,,C441
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C425,C425,C425
,,,T50
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","C303,303",C303,C303
,,,C172
,,,C72R
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",DC-6A,,CDC6
,,,A37
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C421,C421,C421
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C320,C320,C320
,,,F406
,,,F406
,,,C421
,,,C208
,,,C172
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.,Cessna-loomis-buehn","L-19,L-19A,L-19E,CESSNA L-19A",O1,O1
,,,C310
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","LC-126B,LC-126C",C195,C195
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","C337,M337,M337B",C337,C337
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C337,C337,C337
,,,C172
,,,CNGP
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","O-1E,O-1G",O1,O1
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",O-2A,C337,C337
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C162,C162,C162
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.,Cessna/raven","A37,A-37",A37,A37
,,,O1
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C560,C560,C560
,,,C172
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","P206,P206A,P206D,P206E,TP206A,TP206B,TP206C,TP206D,TP206E,U206",C206,C206
,,,C10T
,,,P210
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","P337H,P337",P337,P337
,,,P210
,,,P337
,,,C172
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",R172K,C172,C172
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C82R,C82R,C82R
,,,C550
,,,C172
,,,C172
,,,C320
,,,C182
,,,C82R
,,,C175
,,,C336
,,,T206
,,,T206
,,,T206
,,,T206
,,,T206
,,,T210
,,,T210
,,,COL4
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.,Columbia Aircraft Mfg",LC41-550FG,COL4,COL4
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.,Columbia Aircraft Mfg",LC42-550FG,COL4,COL4
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",T182T,C182,C82S
,,,C207
,,,C207
,,,C207
,,,C337
,,,C310
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",U-3A,C185,C185
,,,C185
,,,C180
,,,C208
,,,C206
,,,C206
,,,C206
,,,C206
,,,C560
,,,C560
,,,C185
,,,C180
,,,C185
,,,C206
,,,C207
,,,C206
,,,C206
,,,C207
,,,C207
,,,C208
,,,C206
,,,C337
,,,C206
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",T-37C,T37,T37
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","T-41B,T41C",C172,C172
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",T-50,T50,T50
,,,C188
,,,C207
,,,C207
,,,T206
,,,T206
,,,C82S
,,,C207
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",T303,C303,C303
,,,C310
,,,C337
,,,C337
,,,C337
,,,C337
,,,C337
,,,P337
,,,C337
,,,C404
,,,O1
,,,O1
,,,T206
,,,T206
,,,T206
,,,T206
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C82T,C82T,C82T
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","UC-78,UC-78B",T50,T50
,,,C402
,,,F406
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C68A,C68A,C68A
,,,COL4
,,,COL3
,,,COL3
,,,COL3
,,,COL4
,,,COL3
,,,COL3
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",C25M,C25M,C25M
,,,C25M
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",408,C408,C408
,,,C408
,,,C208
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","T240,C240",C240,C240
,,,C240
,,,C240
,,,C240
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",TR182,C182,C82T
,,,T206
,,,T206
,,,C208
,,,C208
,,,C208
,,,C68A
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","700,C700",C700,C700
,,,C700
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.",E350,E350,E350
"Cessna,Textron Aviation Inc,Cessna Aircraft Co,Cessna Aircraft Company,Textron Aviation Inc.","530,E530",E530_Scorpion,E530
,,,E530
,,,STST
,,,STST
,,,L4
,,,L4
,,,L4
,,,JRC1
,,,JRC1
Champion,"7EC,7EC(CONV),CH7A",CH7A,CH7A
Champion,"7ECA,7AC",CH7A,CH7A
Champion,"7FC,AERONCA 7FC",CH7A,CH7A
Champion,"7GC,AERONCA 7GC,CH7B",CH7B,CH7B
Champion,"7GCA,AERONCA 7GCA",CH7B,CH7B
Champion,7GCAA (CONV),CH7B,CH7B
Champion,"7GCB,AERONCA 7GCB",CH7B,CH7B
Champion,7GCBA,CH7B,CH7B
,,,CH7B
Champion,"7HC,AERONCA 7HC",CH7B,CH7B
Champion,7JC,CH7A,CH7A
Champion,7KC,CH7B,CH7B
,,,CH7B
Champion,BL8,BL8,BL8
Champion,402,,CH40
,,,CH7B
,,,CH7A
,,,CH7B
,,,BL8
,,,CH7B
,,,CH40
,,,CH7B
,,,CH7B
,,,CH7A
,,,CH7A
,,,CH7A
,,,CORS
,,,CORS
,,,F8
,,,CORS
,,,F8
,,,F8
,,,F8
,,,CORS
,,,FREL
,,,AS50
,,,WZ10
,,,YC12
,,,YC12
,,,YC12
,,,YC12
,,,YC12
,,,CHSY
,,,MG21
,,,MG21
,,,MG21
,,,MG21
,,,J10
,,,FC1
,,,FC1
,,,MG17
,,,MG21
,,,J10
,,,FC1
,,,MG17
,,,MG21
,,,FC1
,,,FC1
,,,FC1
,,,J20
,,,CE15
,,,CE22
,,,CE23
,,,CE25
,,,CE27
,,,CE22
,,,LEOP
,,,CDW1
,,,P28A
,,,P28R
,,,P28T
,,,PA27
,,,P28A
,,,P28A
,,,P28R
,,,P28R
,,,P28A
,,,P28B
,,,P28A
,,,P32R
,,,P28B
,,,PA32
,,,PAY1
,,,PAY2
,,,PA31
,,,P28B
,,,P32R
,,,P32T
,,,PA31
,,,PA31
,,,PA31
,,,PA27
,,,PA25
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28B
,,,P28B
,,,P28B
,,,P28R
,,,P28R
,,,P28R
,,,P28T
,,,PA31
,,,PA31
,,,PA31
,,,PA31
,,,PA31
,,,PAY1
,,,PAY2
,,,PA32
,,,P32R
,,,P32R
,,,P32T
,,,P32T
,,,PA34
,,,PA36
,,,PA38
,,,PA25
,,,PA36
,,,PA31
,,,PA34
,,,PA38
,,,P32T
,,,P28A
,,,P28U
,,,P28U
,,,P28S
,,,P28S
,,,P28S
,,,P28S
,,,MCOU
Christen Industries Inc,A-1,HUSK,HUSK
*,"CHRISTEN EAGLE II,EAGLE II",EAGL,EAGL
,,,HUSK
,,,PTS1
,,,PTS2
,,,SNGY
,,,SNGY
,,,SNGY
,,,CH12
,,,CH14
,,,CH14
*,NIEUPORT X1,CN12,CN12
,,,VK3P
"Cirrus,Cirrus Design Corp,Cirrus Design Corporation",SR20,SR20,SR20
,,,SR20
"Cirrus,Cirrus Design Corp,Cirrus Design Corporation","SR22T,SR22,SRT",SR22,SR22
,,,SR20
"Cirrus,Cirrus Design Corp,Cirrus Design Corporation",SR20,SR20,VK3P
"Cirrus,Cirrus Design Corp,Cirrus Design Corporation","SR22T,S22T",S22T,S22T
,,,SR20
,,,S22T
"Cirrus,Cirrus Design Corp,Cirrus Design Corporation",SF50,SF50,SF50
,,,SF50
,,,SF50
,,,O1
,,,CAD4
,,,CAD4
Canadian Light Acft Sales,L164,CAD4,CAD4
,,,CAD2
,,,CAD2
,,,WACF
,,,T18
,,,CD2
,,,CD2
,,,ES13
,,,COZY
,,,COZJ
,,,CO50
,,,CO50
,,,NIPR
,,,NIPR
,,,COAR
,,,C310
,,,C320
,,,C310
,,,BE55
,,,BE58
,,,PA31
,,,PA31
,,,PA31
,,,BE55
,,,BE33
,,,BE35
,,,BE36
,,,DIPR
,,,MCR1
,,,MC10
,,,MC10
,,,MC10
,,,MC10
,,,MCR1
,,,SKIM
,,,SKIM
,,,SKIM
,,,COL3
Columbia Aircraft Mfg,LC41-550FG,COL4,COL4
,,,COL4
,,,COL3
,,,CFRE
,,,CGAN
,,,CMA3
,,,CFRE
,,,AJ27
,,,C919
,,,AJ27
Commander Aircraft Co,"114-B,114-A,114TC",AC11,AC11
,,,AC11
,,,B06
,,,CA19
,,,CA19
,,,WIRR
,,,P51
,,,CA19
,,,CA25
,,,F86
,,,MIRA
,,,M326
,,,B06
,,,B06
,,,M326
,,,MIRA
,,,P51
,,,F86
,,,CA25
,,,WIRR
Commonwealth,"185,REARWIN 185",SKYR,SKYR
,,,SKYR
,,,CA3
,,,CA4
,,,CA4
,,,CA6
,,,CA7P
,,,CA7T
,,,CA7T
,,,CA8
,,,CA1T
,,,CA12
,,,CAJ
,,,CA3
,,,CA4
,,,CA6
,,,CA7P
,,,CA7T
,,,CA7T
,,,CA8
,,,CA1T
,,,CA12
,,,CAJ
,,,CA4
,,,CA9
,,,CA9
,,,VIVA
,,,F27
,,,S2P
,,,F27
,,,S2T
,,,CL4G
,,,CL4G
,,,CAT
,,,CAT
Consolidated Vultee,RLB3O,B24,B24
,,,B24
,,,CAT
,,,CAT
,,,B24
,,,B24
,,,B24
,,,CAT
,,,CAT
,,,ELTO
,,,CAT
,,,CAT
,,,B24
,,,VALI
,,,B24
Convair,131,CVLP,CVLP
,,,CVLP
,,,CVLT
,,,CAT
,,,CVLP
Convair,240,CVLP,CVLP
Convair,340,CVLP,CVLP
Convair,440,CVLP,CVLP
Convair,580,CVLT,CVLT
Convair,600,CVLT,CVLT
Convair,640,CVLT,CVLT
,,,F106
,,,CVLP
,,,CVLP
,,,L13
,,,B24
,,,B24
,,,CVLP
,,,CAT
,,,P4Y
,,,P4Y
,,,CAT
,,,P4Y
,,,F106
,,,CVLP
,,,CVLP
,,,VALI
,,,VALI
,,,CVLP
,,,CVLP
,,,CP30
,,,CP30
,,,JACE
,,,SACE
,,,CJ1
,,,CJ1
,,,CORO
,,,CORO
,,,CORO
,,,CORO
,,,CA41
,,,CA41
,,,FUSI
,,,COZY
,,,KTOO
,,,KTOO
,,,JC01
,,,JC02
,,,JC02
,,,DRAG
,,,IR99
,,,IR99
,,,CRA1
,,,CRA1
,,,CAT1
,,,CAT2
,,,CAT1
,,,CAT2
,,,EC6
,,,EC6
,,,EC6
,,,EC6
"Czech Sport Aircraft A S,Czech Sport Aircraft As,Czech Aircraft Works Spol Sro",SPORTCRUISER,CRUZ,CRUZ
,,,MRMD
,,,PROT
"Czech Sport Aircraft A S,Czech Sport Aircraft As",PIPER SPORT,CRUZ,CRUZ
,,,PO2
,,,EAGX
,,,J3
,,,J3
,,,J3
,,,J3
"Cubcrafters Inc,Stol Aircraft Llc,Cub Crafters Inc,Cub Crafters Inc,Cub Crafters","CC11-160,CC11-100",PA11,PA11
*,"CCX-1865-0010,CC18-180,CCK-1865,CCX-1865,CC18-180,PA18-150",PA18,PA18
,,,PA18
,,,PA11
,,,PA18
,,,PA11
*,"CCX-2000,CCX-2300,CCK-2000",PA11,PA11
*,"CC19-180,CUB-X,CC19-215",CC19,CC19
,,,CC19
,,,MOCU
,,,CPUP
,,,CULP
,,,CUCA
,,,DRTG
,,,DRTG
,,,DRTG
,,,CUCA
,,,CUCA
,,,CUCA
,,,CUCA
,,,CUCA
,,,CULV
,,,C46
,,,C46
,,,C46
,,,P40
Curtiss,P-40,P40,P40
,,,P40
,,,P40
,,,P40
,,,P40
,,,P40
,,,CRBN
,,,CRBN
,,,CRBN
,,,CRBN
,,,BSTR
,,,LSTR
,,,NSTR
,,,CA61
,,,CA65
,,,CA61
,,,CA65
,,,CH60
,,,CH70
,,,CH80
,,,MRMD
,,,PROT
,,,CRUZ
,,,CH70
,,,CH80
,,,CH60
,,,D201
,,,SRAS
,,,SRAS
,,,SRAS
,,,SRAS
,,,D201
,,,RNGR
,,,KT1
,,,KT1
,,,KT1
Compagnie Daher,TBM 700,TBM9,TBM9
,,,TBM9
,,,TBM9
,,,TBM9
,,,DAL4
,,,DAL5
,,,DAL5
,,,DAL4
,,,SNAP
,,,SNAP
,,,SNAP
,,,DFL6
,,,DFL6
,,,DRTG
,,,DRTG
,,,DRTG
,,,EUFI
,,,EUFI
,,,MIRA
,,,MIRA
,,,MIR2
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","MIRAGE F-1,MIRAGE F1 B,MIRAGE F1 CR,MIRAGE F1 CT,MIRAGE F1 M",,MRF1
,,,MYS4
,,,FA10
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","MYSTERE FALCON 20-D5,FALCON 20-D,MYSTERE FALCON 20-C5",FA20,FA20
,,,FA50
,,,FA10
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet",MYSTERE FALCON 200,FA20,FA20
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet",F900,F900,F900
,,,RFAL
,,,ETAR
,,,SMB2
,,,MIR2
,,,ATLA
,,,ATLA
,,,ATLA
,,,ETAR
,,,MIRA
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","FALCON 7X,FA7X",FA7X,FA7X
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","FALCON 10,FA10",FA10,FA10
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","FALCON 20-F5,FAN JET FALCON,FAN JET FALCON SER F,FALCON 20,FA20,FALCON 20 F,MYSTERE FALCON 20-F5,FAN JET FALCON SER D,FAN JET FALCON SER A,FAN JET FALCON SER B,FAN JET FALCON SER C,FAN JET FALCON SER E,FALCON 20G,MYSTERE FALCON 20,MYSTERE-FALCON 20-E5,MYSTERE-FALCON 20-F5,MYSTERE FALCON 20",FA20,FA20
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","FALCON 50,MYSTERE-FALCON 50,MYSTERE FALCON 50,FA50,MYSTERE FALCON 50EX,FALCON 50EX",FA50,FA50
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet",FALCON 100,FA10,FA10
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet,Dassault Falcon Acft Svcs Corp","FALCON 2000,FALCON 2000EX,FALCON FA-200",FA20,FA20
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","MYSTERE FALCON 900,FALCON 900EX,FALCON 900 EX,FALCON 900,FALCON 900B,FALCON 900EX EASY,MYSTERE FALCON 900B,FALCON 900DX",F900,F900
*,"FALCON 2000,FALCON 2000EX,F2TH,F2TX",F2TH,F2TH
,,,FLAM
,,,FA20
,,,FA20
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","HU25A,HU-25A20",FA20,FA20
,,,FLAM
,,,FLAM
,,,MYS4
,,,MIRA
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet","FA20,FA5X",FA20,FA5X
"Dassault,Dassault Aviation,Dassault-breguet,Avions Marcel Dassault,Dassault/sud,Avions Marcel Dassault Breguet,Dassaultaviation,Avion Marcel Dassault Breguet,Dassault Breguet",FA8X,FA8X,FA8X
"Dornier Gmbh,Dassault-Breguet / Dornier,Dassault_Breguet Dornier","ALPHA-JET,Alpha Jet Model A",AJET,AJET
,,,MD3
,,,MD3
*,C JAHN/DAVIS DA2A,DA2,DA2
,,,DA5
"Dehavilland,Dehavilland-shawano,Dehavilland/motes","CHIPMUNK,DHC-1 CHIPMUNK,DH.C1 MK22A",DHC1,DHC1
,,,DH88
,,,DOVE
Dehavilland,DH 60-GM,DH60,DH60
Dehavilland,"GIPSY MOTH DH.60G,GIPSY MOTH DH60M,GIPSY MOTH",DH60,DH60
Dehavilland,PUSS MOTH 80A,DH80,DH80
,,,DH82
"Dehavilland,Dehavilland-shawano,Dehavilland Canada,Dehavilland/burson,Dehavilland/lake Union Air,Dehavilland/oliver,Dehavilland-schildberg","TIGER MOTH DH 82A,DH 82-C,DH82A,DH82A 2POLB,TIGER MOTH DH82,TIGER MOTH DH-82C,DHC-2,DHC2 MK1,DH-82A,DH 82A",DH82,DH82
Dehavilland,DH FOX MOTH 83,,DH83
,,,DH85
Dehavilland,HORNET MOTH DH 87B,DH87,DH87
,,,DH88
Dehavilland,"DH-89A,DH-89A MKIV,DH89A RAPIDE",DH89,DH89
,,,DH90
Dehavilland,"DH-94 MOTH MINOR,MOTH MINOR DH-94",DH94,DH94
"Dehavilland,Dehavilland Aircraft Co Ltd,Dehavilland Canada","MK-35,MOSQUITO,DH 98 MOSQUITO T III,DH98 MOSQUITO FBMK26",MOSQ,MOSQ
Dehavilland,DH-100 MK 6,VAMP,VAMP
Dehavilland,"DH-104,DH104 DOVE 5A,DH104 DOVE 6A",DOVE,DOVE
"Dehavilland,Dehavilland/sanders Acft Inc","DH112 VENOM,SEA VENOM",VNOM,VNOM
,,,HERN
