FAA Manufacturer,FAA Model,Remap,Type
Aeronca,"C-2,C-2 SCOUT, C-2 STANDARD,C-3",AERK,AERK
,,,AERK
,,,AR50
,,,AR50
Aeronca,"S-65-C,S-65-CA",AR65,AR65
,,,AR65
Aeronca,"50-C,50-F,50-L,50-TL",AR5T,AR5T
,,,AR5T
Aeronca,60-TF,AR6T,AR6T
,,,AR6T
"Aeronca,Aeronca/browne","AR65,65-C,65-CA,65-LA,65-LB,65-TAC,65-TAF,65-TAL,65-TX,65-TF,65-TL,65-TC",AR6T,AR6T
,,,AR6T
,,,AR6T
,,,AR6T
,,,AR6T
,,,AR6T
Aeronca,"0-58A,0-58B,L-3,L-3B,L-3C,YO-58",AR6T,AR6T
,,,AR6T
,,,AIRL
,,,LAKX
,,,A19
,,,A21
,,,A23
,,,A25
,,,A27
,,,A33
,,,AA37
,,,A25
,,,A23
,,,A21
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O",FPNA-A-20 VISTA,,AP20
,,,AP20
,,,AP20
,,,AP20
,,,AP20
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O","A22LS,A-22LS,A-22 LS",AP22,AP22
,,,AP22
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O",A-22 VALOR,AP22,AP22
,,,AP22
,,,AP24
,,,AP26
,,,AP28
,,,AP36
,,,AP22
,,,AP20
,,,AP26
,,,AP28
,,,AP20
,,,AP20
,,,AP26
,,,AP22
,,,AP20
,,,AP28
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O",A-24 VIKING,AP24,AP24
,,,AP22
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O","VISTA A-20,A-20 VISTA CRUISER",AP20,AP20
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O",A-36 VULCAN,AP36,AP36
"Aeroprakt Manufacturing Sp Zoo,Fpna Llc,Aeroprakt,Aeroprakt America Inc,Aeroprakt Mfg Sp Z O O",A32,AP32,AP32
,,,AP32
,,,AP22
,,,AP22
"Aeropro Cz S R O,Aeropro Cz","A240,A220",EFOX,EFOX
,,,T411
,,,T101
,,,T101
Roks Aero Progress,T-411,T411,T411
,,,APUP
,,,DNGO
,,,UL2F
,,,UL2F
,,,F41E
,,,KATR
,,,F41E
,,,MH46
,,,MH46
,,,ALO2
,,,ALO3
,,,AS32
,,,AS32
,,,AS32
,,,AS32
,,,AS32
,,,AS3B
,,,AS32
,,,AS32
,,,AS32
,,,AS32
Aerospatiale,"AS350B,AS350BA,AS350 B2 ECUREUIL",AS50,AS50
Aerospatiale,AS355F2 ECUREUIL,AS50,AS50
,,,AS50
,,,AS55
,,,AS55
Aerospatiale,AS 365 N2 DAUPHIN,AS65,AS65
,,,AS65
,,,AS3B
,,,AS32
,,,AS3B
,,,AS32
,,,AS32
,,,AS50
Aerospatiale,"AS 355F2,AS 355F1",AS55,AS55
,,,AS65
,,,AS50
,,,PUMA
,,,FOUG
,,,S601
,,,AS32
,,,AS3B
,,,S360
,,,AS65
,,,S65C
,,,AS65
,,,AS50
,,,AS55
,,,TB30
,,,AS50
,,,AS55
,,,N262
,,,GAZL
,,,AS65
,,,AS32
,,,LAMA
,,,FOUG
,,,N262
,,,N262
,,,N262
,,,AS65
,,,PUMA
Aerospatiale,"SA315B,SA315A",LAMA,LAMA
Aerospatiale,SA315B ALOUETTE III,ALO3,ALO3
,,,ALO2
,,,ALO3
,,,FREL
,,,PUMA
,,,GAZL
,,,GAZL
,,,S360
,,,S360
,,,S65C
,,,AS65
,,,AS65
,,,AS65
,,,AS65
,,,AS65
,,,S601
,,,FREL
,,,AS32
,,,AS3B
,,,AS50
,,,TB30
,,,AS32
,,,AS55
Czech Sportplanes,DYNAMIC WT9,WT9,WT9
Aerospool,WT9,WT9,WT9
,,,QAIL
,,,RAIL
,,,SCAM
,,,WOPU
,,,M10
,,,M20P
,,,M20P
,,,M20P
,,,M20P
,,,AEST
,,,AEST
,,,FJ10
S C Aerostar S .a.,FESTIVAL R40S,FEST,FEST
,,,FEST
,,,YK52
,,,MG21
,,,MG21
,,,WILT
,,,WILT
,,,WILT
S C Aerostar S A,YAK-52,YK52,YK52
,,,YK52
,,,FEST
,,,RF10
,,,BREZ
,,,A122
,,,A122
,,,A122
,,,MX65
,,,MX10
,,,MX80
,,,MX10
,,,MX65
,,,SVNH
,,,MX80
,,,SVNH
,,,F260
,,,F260
,,,P220
,,,L13S
,,,L13S
Aerotechnik,Z-226T,P220,P220
,,,L13S
,,,L13S
"Aerotek,Aerotek Inc","PITTS S-1T,PITTS SPECIAL S-1S",PTS1,PTS1
"Aerotek,Aerotek Inc","PITTS S-2B,PITTS S-2A",PTS2,PTS2
,,,HUMM
,,,GRIZ
,,,EFOX
,,,EFOX
,,,L6
,,,LA8
,,,LA8
,,,TOUR
,,,CT4
,,,CT4
,,,OSCR
,,,OSCR
,,,G64T
,,,G64T
,,,MX65
,,,MX10
,,,MX10
,,,MX65
,,,SVNH
,,,SVNH
,,,SCAM
,,,PZ26
,,,PZ26
"Agusta Aerospace Corp,Agusta Spa,Bell-agusta","A109E,A109A II",A109,A109
,,,A109
,,,A109
"Agusta Aerospace Corp,Agusta Spa,Bell-agusta",A119,A119,A119
,,,A129
,,,B47G
,,,B47J
,,,UH1
,,,UH1
,,,B06
,,,B06
,,,B212
,,,B412
,,,B412
,,,S61
,,,S61
,,,S61R
,,,S61
"Agusta Aerospace Corp,Agusta Spa,Bell-agusta",AW119 MKII,A119,A119
"Agusta Aerospace Corp,Agusta Spa,Bell-agusta","AW139,A139",A139,A139
,,,A109
,,,B412
,,,S61R
,,,UH1
,,,B06
,,,B412
,,,A109
,,,B06
,,,A119
,,,B06
,,,A129
,,,A109
,,,H500
,,,A109
,,,S61
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A109
,,,A149
,,,A109
,,,A129
,,,A129
,,,A139
,,,A109
,,,A109
,,,A109
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW109,A109,A109
,,,A109
,,,A109
,,,EH10
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",SH101,EH10,EH10
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",UH101,EH10,EH10
,,,EH10
,,,EH10
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",HH139,A139,A139
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",VH139,A139,A139
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",UH139,A139,A139
,,,LYNX
,,,LYNX
,,,LYNX
,,,LYNX
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",MCH101,EH10,EH10
,,,EH10
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa,Westland","AW101,510",EH10,EH10
,,,A109
,,,A109
,,,A109
,,,A109
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW119MKII,A119,A119
,,,A119
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",,,A129
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW139,A139,A139
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW149,A149,A149
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW169,A169,A169
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW189,A189,A189
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW609,B609,B609
,,,EH10
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",ICH47,H47,H47
,,,H47
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",AW159,LYNX,LYNX
,,,LYNX
"Agustawestland Philadelphia,Agustawestland Philadelphia Co,Agustawestland Spa",EH10,EH10,EH10
,,,EH10
,,,EH10
,,,RJ70
,,,RJ85
,,,RJ1H
,,,JS41
,,,JS41
,,,RJ70
,,,RJ85
,,,RJ1H
,,,SV4
,,,AEST
,,,AN2
,,,P28A
,,,P28A
,,,P28B
,,,P28A
,,,P28A
,,,P28R
,,,P28R
,,,P28B
,,,P28A
,,,P28B
,,,PA32
,,,P28A
,,,PA44
,,,PA36
,,,PA32
,,,PA44
,,,PA34
,,,PA32
,,,PA38
,,,P28B
,,,PA32
,,,P32R
,,,PA30
,,,P28A
,,,PAY2
,,,PAY2
,,,PAY3
,,,PA31
,,,P28B
,,,P32R
,,,PA31
,,,PA31
,,,PA31
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28A
,,,P28B
,,,P28B
,,,P28B
,,,P28B
,,,P28B
,,,P28R
,,,P28R
,,,PA30
,,,PA31
,,,PA31
,,,PA31
,,,PA31
,,,PAY2
,,,PAY2
,,,PA32
,,,PA32
,,,PA32
,,,PA32
,,,P32R
,,,P32R
,,,P32T
,,,PA34
,,,PA36
,,,PA38
,,,PAY3
,,,P28S
,,,P28U
,,,P28U
,,,P28S
,,,P28S
,,,P28S
,,,CH1
,,,AT3
,,,CKUO
,,,F5
,,,CH1
,,,F5
,,,CKUO
,,,CH1
,,,CH1
,,,AT3
,,,UH1
,,,RV6
,,,RV6
,,,M18
,,,A748
,,,EPIC
,,,ELIT
,,,ESCA
*,"EPICLT,EPIC LT",EPIC,EPIC
,,,EVIC
Air & Space America Inc,18A,UM18,UM18
,,,TSTR
Air Command Intl Inc,582,CMD1,CMD1
,,,CMDT
,,,CMDE
,,,FU24
,,,ERCO
,,,ERCO
"Air Tractor Inc,Air Tractor",AT-300,AT3P,AT3P
"Air Tractor Inc,Air Tractor",AT-301,AT3P,AT3P
"Air Tractor Inc,Air Tractor",AT-302,AT3T,AT3T
"Air Tractor Inc,Air Tractor","AT-400,AT-400A",AT3T,AT3T
"Air Tractor Inc,Air Tractor",AT-401,AT3P,AT3P
"Air Tractor Inc,Air Tractor","AT-402B,AT-402A,AT-402",AT3T,AT3T
"Air Tractor Inc,Air Tractor",AT-501,AT5P,AT5P
"Air Tractor Inc,Air Tractor","AT-502,AT-502B,AT-502A",AT5T,AT5T
"Air Tractor Inc,Air Tractor",AT-503,AT5T,AT5T
"Air Tractor Inc,Air Tractor","AT-602,AT6T",AT6T,AT6T
"Air Tractor Inc,Air Tractor","AT-802A,AT-802,AT8T",AT8T,AT8T
,,,AT8T
,,,AT8T
"Air Tractor Inc,Air Tractor",AT-504,AT5T,AT5T
"Air Tractor Inc,Air Tractor",AT-250,AT2P,AT2P
Fouga,CM 170 MAGISTER,,FOUG
,,,FOUG
,,,WILT
,,,WILT
,,,WILT
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A35K,A35K,A35K
,,,A35K
,,,A35K
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A332,A332,A332
,,,A332
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A400,A400,A400
,,,A400
,,,A400
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",C295,C295,C295
,,,C295
,,,C295
,,,C295
,,,C295
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",CN35,CN35,CN35
,,,CN35
,,,CN35
,,,CN35
,,,CN35
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",EFAN,EFAN,EFAN
,,,A332
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A319,A319,A319
,,,A400
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A318,A318,A318
,,A318,A318
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A320,A320-214",A320,A320
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A330,A332,A332
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A342,A342,A342
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A343,A343,A343
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A345,A345,A345
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A346,A346,A346
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A388,A388,A388
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A320,A320,A320
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A332,A332,A332
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A342,A340",A342,A342
,,,A343
,,,A345
,,,A346
,,,A388
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A339,A339,A339
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A19N,A19N,A19N
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A20N,A20N,A20N
,,,A21N
,,,A338
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A337,A337,A337
,,,A337
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",VAH1,VAH1,VAH1
,,,VAH1
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",BCS1,BCS1,BCS1
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S,Bombardier Inc.,Airbus Canada Limited Partnership","BCS3,BD-500-1A11  A220-300",BCS3,BCS3
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A30B,A30B,A30B
,,,A30B
,,,A30B
,,,A30B
,,,A30B
,,,A30B
,,,A30B
,,,A30B
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A300B4-622R,A300 B4-622,A300B4-605R,A306,A300 F4-605R,A300 B4-622R,A300 B4-605R",A306,A306
,,,A30B
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A300F4-622R,A300 F4-622R,A300 F4-622",A306,A306
,,,A30B
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A300F4-605R,A300F4-605",,A306
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A3ST,A3ST,A3ST
,,,A3ST
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A310,A310-324",A310,A310
,,,A318
,,,A319
,,,A319
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A320-214,A320,A320
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S","A321,A21N",A321,A321
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A332,A332,A332
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A333,A333,A333
,,,A342
,,,A343
,,,A345
,,,A346
,,,A388
,,,A319
,,,A3ST
,,,A310
,,,A310
,,,A3ST
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",A359,A359,A359
,,,A359
,,,A359
"Airbus,Airbus Industrie,Airbus Sas,Airbus S A S",C212,C212,C212
,,,H160
,,,TIGR
,,,TIGR
,,,TIGR
,,,AS32
,,,TIGR
"Airbus Helicopters,Airbus Helicopters Inc,Airbus Helicopters Deutschland","EC135 P2+,EC135 P3",EC35,EC35
,,,EC35
,,,EC20
,,,AS50
,,,AS50
,,,AS50
"Airbus Helicopters,Airbus Helicopters Inc,Airbus Helicopters Deutschland",EC 130 T2,EC30,EC30
,,,EC35
,,,EC55
,,,EC25
,,,EC25
,,,AS32
,,,AS32
,,,AS32
,,,AS32
,,,EC25
,,,EC25
,,,EC25
,,,EC25
"Airbus Helicopters,Airbus Helicopters Inc,Airbus Helicopters Deutschland","AS350B3,AS 350B3",AS50,AS50
,,,AS50
,,,AS50
,,,AS50
,,,AS50
,,,AS50
,,,AS55
,,,AS55
,,,EC30
,,,AS65
,,,AS65
,,,AS65
,,,AS65
"Airbus Helicopters,Airbus Helicopters Inc,Airbus Helicopters Deutschland",EC 155B1,EC55,EC55
,,,EC35
,,,EC35
,,,EC20
,,,EC20
,,,EC75
,,,EC75
,,,EC75
,,,EC45
,,,EC45
,,,EC45
,,,EC45
,,,EC45
,,,EC45
,,,VW10
,,,VW10
,,,SPGY
,,,STAL
,,,STAL
,,,STAT
,,,BU20
,,,L410
,,,L410
,,,A9
,,,A9
,,,BLKS
,,,BLKS
,,,RODS
,,,R109
,,,RODS
,,,R109
,,,BLKS
*,TAILWIND W-8+,TAIL,TAIL
,,,VWIT
,,,TAIL
,,,ATAC
,,,ATIS
,,,M360
,,,AVID
,,,SCOM
,,,AVID
*,AVID MAGNUM XL,MAGN,MAGN
,,,SPUP
,,,PA18
,,,PA18
,,,ALSL
,,,AVLN
,,,SMAX
,,,SMAX
,,,JFOX
,,,UF10
"Airplane Factory,Airplane Factory (pty) Ltd The,Airplane Factory Inc,Sling Aircraft","SLING,SLING TSI",SLG2,SLG2
"Airplane Factory,Airplane Factory (pty) Ltd The,Airplane Factory Inc,Sling Aircraft",SLING 2,SLG2,SLG2
"Airplane Factory,Airplane Factory (pty) Ltd The,Airplane Factory Inc,Sling Aircraft",SLING 4 TSI,SLG4,SLG4
,,,SNTA
,,,DHC2
,,,DHC2
,,,DHC3
,,,DHC3
,,,DHC3
,,,CN35
,,,CN35
,,,CN35
,,,I11B
,,,I115
,,,I11B
,,,TAIL
,,,TAIL
,,,C02T
,,,C14T
,,,B13
,,,D39
,,,AK1
,,,MU23
,,,SCRO
,,,MU23
,,,SCRO
,,,FNKB
"Akro Tech Aviation Inc,Akrotech Aviation Inc",GILES G-200,G200,G200
,,,G202
,,,G300
,,,CP10
,,,CP22
,,,CP23
,,,MLER
,,,AMX
,,,HAR
,,,G222
Alenia Aermacchi,C27J,C27J,C27J
,,,EUFI
,,,G222
,,,AMX
,,,HAR
,,,G222
,,,C27J
,,,EUFI
,,,C27J
,,,C27J
,,,C27J
,,,C27J
,,,M346
,,,M346
,,,M346
,,,F260
,,,F260
,,,F260
,,,F26T
,,,M339
,,,C27J
,,,C27J
,,,F260
,,,BL17
,,,BL17
,,,A211
,,,B36T
,,,B36T
,,,PAGO
,,,J300
,,,J300
,,,PAGO
,,,SAVG
Alon,A2,ERCO,ERCO
,,,ERCO
,,,CHCS
,,,D11
,,,RF3
,,,RF4
,,,JAJ5
,,,JAJ5
,,,R200
,,,R200
,,,R200
,,,R200
,,,PNR4
,,,ES11
,,,ES11
,,,PNR2
,,,PNR2
Alpi,PNR3,PNR3,PNR3
,,,PNR3
,,,AV68
,,,AV68
,,,ALC1
,,,BD5
,,,BD5
,,,BD5J
,,,BD5
,,,BD5J
,,,POLI
*,DOUBLE EAGLE,DEAG,DEAG
,,,KTOO
,,,KTOO
,,,SPOR
,,,VIXN
,,,ROND
,,,ROND
,,,TB05
,,,CH2T
,,,CH60
Aircraft Mfg & Development Co,CH 2000,CH2T,CH2T
,,,CH2T
,,,MX1T
,,,CH2T
,,,CH75
,,,CH60
,,,CH65
,,,CH75
,,,CH75
,,,CH65
,,,CH75
,,,MX1T
,,,EAGT
American,AA-1,AA1,AA1
,,,AA1
,,,AA1
American,AA-5,AA5,AA5
,,,AA1
,,,AA1
,,,AA5
,,,AA1
,,,VSON
,,,FALC
"Autogyro Gmbh,American Autogyro Inc,American Autogyro","MTO SPORT,SPARROWHAWK,SPHA",SPHA,SPHA
,,,SPHA
"American Champion Aircraft,Bellanca,Champion","7GCAA,7KCAB",CH7B,CH7B
"American Champion Aircraft,Bellanca,Champion",7GCBC,CH7B,CH7B
,,,CH7B
,,,CH7B
"American Champion Aircraft,Bellanca,Champion",7EC,CH7A,CH7A
"American Champion Aircraft,Bellanca,Champion",7ECA,CH7A,CH7A
,,,CH7B
,,,CH7B
,,,BL8
"American Champion Aircraft,Bellanca,Champion","8KCAB,8GCBC,8KCAB180,BL8",BL8,BL8
,,,CH7A
,,,CH7B
,,,CH7A
,,,CH7B
,,,BL8
,,,BL8
,,,AEA1
,,,AEA1
American General Acft Corp,AG5B,AA5,AA5
,,,AA5
,,,JDOE
American Legend Aircraft Co,"AL3C-100,AL3",J3,J3
American Legend Aircraft Co,AL11,PA11,PA11
,,,J3
American Legend Aircraft,AL18,PA11,PA11
,,,ULTS
,,,BLBU
,,,BLBU
,,,BLBU
,,,TFK2
,,,AMX
,,,AMX
,,,AMX
,,,AMX
,,,TARO
,,,KFIS
,,,KFIS
,,,T250
,,,T250
,,,JUNR
,,,JUNR
,,,ANGL
,,,ANGL
,,,KTOO
,,,KTOO
,,,SWAK
,,,SWAK
,,,TRIS
,,,TRIS
,,,P220
,,,P220
,,,P220
,,,AN2
Antonov,AN3,AN3,AN3
,,,AN8
,,,AN12
,,,AN22
,,,AN24
,,,AN26
,,,AN28
,,,AN30
,,,AN32
,,,AN32
,,,AN32
,,,AN38
,,,AN70
,,,AN72
,,,AN72
,,,AN72
,,,A743
Antonov,A124,A124,A124
,,,A140
,,,A148
,,,A225
,,,AN22
,,,AN32
,,,A225
,,,A124
,,,AN32
,,,A158
,,,A178
,,,AJET
,,,TUCA
,,,TUCA
,,,ZIA
,,,DRTG
Aquila,A210,A210,A210
,,,A210
,,,AR79
,,,RF47
,,,CE22
Arctic Aircraft Co Inc, S-1B2,S1,S1
,,,S4
,,,S1
,,,S4
,,,F26T
